Username,Comment,Rating,Time,IdProduct
van_cong_hau,"Sản phẩm chất lượng, chuẩn hàng VN/A luôn nha mọi người, giao hàng nhanh, đóng gói cẩn thận, không bị móp méo khi nhận hàng, uy tín nha mn, săn đc giá rẻ hơn so với mua ngoài cửa hàng mà lại còn có máy liền k phải đợi, 5 sao.",5,2021-12-21 10:48:29,13017662822
chi.chi_1994,Sản phẩm rất đẹp và chất lượng tuyêth vời lắm nhe 🤣🤣🤣🤣😓🤣🤣🤣🤣🤣🤣🤣,5,2021-12-08 11:41:25,13017662822
nguyenkim892341,Chất lượng sản phẩm tuyệt vời giao hàng nhanh. shop tư vấn tốt. sẽ ủng hộ lần sau. kdjdj,5,2021-11-28 16:07:35,13017662822
whitecat1996,"Máy ngon , giao hàng nhanh chóng , shipper thân thiện lắm mọi người ạ.",5,2021-11-27 13:48:26,13017662822
hoainhihup264,"Chủ shop vui tính, tư vấn nhiệt tình. Đóng gói giao hàng nhanh, đẹp. Sản phẩm tốt. Săn sale nên giá rất ổn. Cám ơn shop nhiều nhaa
Video và hình ảnh mang tính chất nhận xu.",5,2021-11-28 18:48:50,13017662822
trangnm93,"Hàng chính hãng, mong nhận được hoá đơn sớm. Đc  cái hàng có sẵn ko phải chờ đợi lâu",5,2021-11-21 12:59:11,13017662822
cocowaterleo,"Đợt này shop giao nhanh hơn chút so với mấy lần trước, hàng vẫn chất lượng xưa giờ.",5,2021-11-25 20:55:34,13017662822
p*****_,Giao hàng khá lâu. Săn được giá hời. Sau sẽ ủng hộ shop thêm…..,5,2021-11-22 11:29:56,13017662822
nguyenhan190399,"Lần đầu tiên mua món hàng giá trị trên shopee. Nhưng nhận được hàng rất ưng.
Tuy nhiên thời gian lâu khá chậm.
Nhận hàng nguyên vẹn, đầy đủ hoá đơn điện tử. 
Rất tốt.",5,2021-11-21 17:28:25,13017662822
h*****5,Hàng chuẩn nhất uy tín nên lúc nào cũng cho shop 5 sao luôn hêhh,5,2021-12-01 14:02:54,13017662822
quang3587,"Máy mới nguyên seal mã VN
SĂN hàng khuyến mãi nên giá ok
Hơi khó săn số lượng ít
Trả trước qua thẻ tín dụng nữa",5,2021-11-25 15:29:54,13017662822
m*****e,"Shop gói kỹ, giao hàng siêu nhanh, màu đen cũng rất đẹp hàng nguyên seal",5,2021-11-27 17:04:53,13017662822
